,kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_model_snr,koi_steff,koi_slogg,koi_srad
27,11460018,K00769.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.280963604,0.424,2.875,750.8,2.3,1012.0,61.8,5644.0,4.564,0.831
28,11463211,K00770.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,0,1.50635409,0.86,1.5155,2211.7,4.53,1452.0,181.1,5714.0,4.563,0.831
29,11465813,K00771.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,0,0,670.645531,0.701,53.412,18091.0,14.14,196.0,642.7,5520.0,4.466,0.983
30,11493732,K00772.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,61.2563628,1.248,7.633,5123.3,39.87,505.0,85.3,6144.0,4.402,1.091
31,11507101,K00773.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,38.3775486,0.468,5.588,724.2,2.82,529.0,34.7,5481.0,4.369,1.036
32,10910878,K00757.02,CONFIRMED,CANDIDATE,0.992,0,0,0,0,41.19725502,0.045,4.6297,2213.9,3.86,439.0,51.2,5031.0,4.485,0.848
33,10910878,K00757.03,CONFIRMED,CANDIDATE,1.0,0,0,0,0,6.252962248999999,0.105,2.5819,1036.9,2.65,823.0,47.1,5031.0,4.485,0.848
34,10987985,K00758.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,16.01308419,0.799,3.2554,1121.9,3.1,593.0,33.2,5015.0,4.499,0.826
35,11018648,K00759.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,32.62876672,0.021,4.7971,1804.8,3.36,506.0,80.0,5586.0,4.56,0.798
36,11018648,K00759.02,CONFIRMED,CANDIDATE,0.978,0,0,0,0,91.7732862,0.606,6.473,652.0,2.12,359.0,19.1,5586.0,4.56,0.798
37,11138155,K00760.01,CANDIDATE,CANDIDATE,1.0,0,0,0,0,4.959319244,0.831,2.22739,9802.0,12.21,1103.0,696.5,5712.0,4.359,1.082
38,11152159,K00761.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,2.7012878010000003,1.016,3.3827,860.4,6.54,1222.0,48.3,5550.0,4.468,0.91
39,11153539,K00762.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.49876511,0.312,3.7362,460.0,2.1,1133.0,29.5,6075.0,4.486000000000001,0.969
40,11242721,K00763.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,19.651209505,0.723,5.2514,11766.0,12.42,730.0,513.4,6074.0,4.391,1.063
41,9579641,K00115.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,5.412203927,0.787,2.9472,601.6,2.94,1093.0,166.7,5779.0,4.3389999999999995,1.087
42,11304958,K00764.01,CONFIRMED,CANDIDATE,0.998,0,0,0,0,41.43958662,0.355,10.5989,2793.1,5.5,516.0,141.1,5468.0,4.367,1.046
43,11391957,K00765.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,8.35389523,0.023,2.2514,1041.6,2.52,790.0,43.4,5592.0,4.582,0.787
44,11403044,K00766.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.1255434719999995,0.597,3.1744,1487.3,4.43,1243.0,128.6,6174.0,4.417,1.103
45,11414511,K00767.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.816504904,0.105,2.5058700000000003,16814.0,12.21,1219.0,1406.8,5532.0,4.452,0.955
46,11442465,K00768.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,33.93373447,0.812,14.561,8503.7,7.34,430.0,236.1,5040.0,4.628,0.705
47,12110942,K00786.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.6899200989999996,0.151,2.6557,426.7,1.89,1147.0,35.6,5880.0,4.518,0.917
48,12366084,K00787.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.431238488,0.405,3.15,1010.9,3.25,1104.0,71.1,5714.0,4.428,1.015
49,12366084,K00787.02,CONFIRMED,CANDIDATE,1.0,0,0,0,0,11.37936986,0.911,2.6255,1023.5,3.95,806.0,37.9,5714.0,4.428,1.015
50,12404086,K00788.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,26.39432897,0.602,3.573,1510.9,3.07,489.0,48.2,5129.0,4.595,0.763
51,8395660,K00116.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,13.57078281,0.866,3.3539,511.7,2.64,785.0,88.4,5854.0,4.406000000000001,1.012
52,9579641,K00115.02,CONFIRMED,CANDIDATE,1.0,0,0,0,0,7.12594387,0.898,3.0014,192.4,1.79,997.0,47.1,5779.0,4.3389999999999995,1.087
53,11656840,K00774.01,FALSE POSITIVE,FALSE POSITIVE,0.014,0,1,0,0,7.442652004,0.137,2.3078,24446.0,15.03,967.0,835.6,6108.0,4.468999999999999,0.956
54,11754553,K00775.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,16.38489988,0.001,3.0249,1127.1,2.0,433.0,28.9,4126.0,4.6610000000000005,0.615
55,11754553,K00775.02,CONFIRMED,CANDIDATE,1.0,0,0,0,0,7.8774163,0.041,2.0805,1306.1,2.16,553.0,38.7,4126.0,4.6610000000000005,0.615
56,11754553,K00775.03,CONFIRMED,CANDIDATE,1.0,0,0,0,0,36.4454001,0.028,4.007,1122.3,1.99,332.0,21.7,4126.0,4.6610000000000005,0.615
57,11812062,K00776.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.7287321469999997,0.558,2.683,5226.5,6.02,1023.0,345.2,5497.0,4.577,0.809
58,11818800,K00777.01,CANDIDATE,CANDIDATE,0.999,0,0,0,0,40.4195037,0.911,3.362,6256.0,7.51,467.0,36.9,5446.0,4.507,0.781
59,11853255,K00778.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.243380573,0.915,1.1196,821.7,1.99,822.0,38.9,4149.0,4.698,0.564
60,11909839,K00779.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,10.405998015,0.324,6.5036,14489.0,11.23,833.0,745.2,5746.0,4.393,0.924
61,11918099,K00780.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.337437946,0.28,1.9982,971.2,2.34,1070.0,82.4,5005.0,4.595,0.765
62,11918099,K00780.02,CANDIDATE,CANDIDATE,0.993,0,0,0,0,7.2406612,1.198,0.558,556.4,19.45,734.0,13.7,5005.0,4.595,0.765
63,9579641,K00115.03,CANDIDATE,CANDIDATE,0.871,0,0,0,0,3.43591631,0.624,3.133,23.2,0.55,1272.0,8.7,5779.0,4.3389999999999995,1.087
64,11923270,K00781.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,11.59822233,0.679,2.5237,2804.5,2.65,396.0,71.0,3688.0,4.79,0.473
65,11960862,K00782.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,6.575315881,0.39,4.3084,2793.3,5.31,1015.0,221.1,5992.0,4.415,0.989
66,12020329,K00783.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,7.275040843999999,0.547,7.5377,3001.0,4.86,833.0,312.1,5485.0,4.556,0.867
67,12066335,K00784.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,19.27153892,0.031,2.7594,1219.8,1.93,393.0,37.1,4077.0,4.702,0.56
68,12066335,K00784.02,CONFIRMED,CANDIDATE,1.0,0,0,0,0,10.06524317,0.628,1.369,1053.3,1.91,488.0,30.3,4077.0,4.702,0.56
69,12070811,K00785.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,12.3935651,0.883,3.8896,916.6,2.66,677.0,35.8,5557.0,4.603,0.75
70,8395660,K00116.02,CONFIRMED,CANDIDATE,0.998,0,0,0,0,43.84439721,0.852,6.802,615.2,2.87,531.0,83.7,5854.0,4.406000000000001,1.012
71,3120431,K00798.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,3.341913228,1.213,3.813,725.3,21.55,1032.0,39.0,5295.0,4.551,0.811
72,3246984,K00799.01,CANDIDATE,CANDIDATE,0.773,0,0,0,0,1.626630225,1.26,2.1145,1620.6,32.43,1547.0,103.6,5735.0,4.41,0.973
73,3342970,K00800.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.711504086,0.023,3.0099,837.5,3.12,1420.0,64.5,6214.0,4.442,1.076
74,3342970,K00800.02,CONFIRMED,CANDIDATE,1.0,0,0,0,0,7.21203748,0.012,4.0491,950.4,3.32,1025.0,51.5,6214.0,4.442,1.076
76,12470844,K00790.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,8.47237911,0.022,2.7245,1123.5,2.59,751.0,47.6,5354.0,4.587,0.788
77,12470844,K00790.02,CONFIRMED,CANDIDATE,0.989,0,0,0,0,60.4189369,0.094,5.039,931.3,2.36,390.0,20.1,5354.0,4.587,0.788
78,12644822,K00791.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,12.611904345,0.55,5.1497,6105.6,7.4,753.0,277.2,5795.0,4.508,0.919
79,2440757,K00792.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,1.433769925,1.268,1.8868,1976.3,46.58,1920.0,112.6,6017.0,4.22,1.339
80,2445129,K00793.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,10.31872301,1.215,3.836,871.7,28.59,876.0,38.2,5927.0,4.409,1.06
81,2713049,K00794.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.5391831469999997,0.238,2.4282,382.1,2.06,1332.0,38.9,5519.0,4.35,1.062
82,3114167,K00795.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,6.770300385,0.838,2.0844,1304.0,2.77,812.0,50.8,5653.0,4.656000000000001,0.679
83,3114661,K00796.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,0.44429196600000004,1.258,2.0792,10967.0,27.51,1836.0,299.7,5255.0,4.678,0.636
84,3115833,K00797.01,CANDIDATE,CANDIDATE,1.0,0,0,0,0,10.181584004,0.92,3.5089,5741.1,7.73,812.0,183.6,5988.0,4.541,0.836
85,4139816,K00812.02,CONFIRMED,CANDIDATE,1.0,0,0,0,0,20.06036336,0.556,3.3203,1494.7,1.96,361.0,35.2,3950.0,4.754,0.493
86,4139816,K00812.03,CONFIRMED,CANDIDATE,1.0,0,0,0,0,46.1842039,0.013,4.758,1394.7,1.83,273.0,26.0,3950.0,4.754,0.493
87,8395660,K00116.04,CONFIRMED,CANDIDATE,0.952,0,0,0,0,23.9800854,0.95,5.351,104.0,1.31,649.0,17.1,5854.0,4.406000000000001,1.012
88,4139816,K00812.04,CONFIRMED,CANDIDATE,0.994,0,0,0,0,7.82502168,0.708,2.186,520.8,1.2,494.0,15.9,3950.0,4.754,0.493
89,4275191,K00813.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.895936525,0.524,2.3111,8544.8,7.34,1005.0,370.8,5557.0,4.592,0.774
90,4476123,K00814.01,CONFIRMED,CANDIDATE,0.999,0,0,0,0,22.36646466,0.4,5.228,986.8,2.32,536.0,32.1,5395.0,4.615,0.734
91,3351888,K00801.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,1.625522174,0.076,2.38963,7969.0,9.73,1579.0,799.7,5539.0,4.322,1.106
92,3453214,K00802.01,CANDIDATE,CANDIDATE,1.0,0,0,0,0,19.620346923,0.458,2.0038,21725.0,13.6,643.0,340.5,5710.0,4.492,0.905
93,3554600,K00803.01,FALSE POSITIVE,FALSE POSITIVE,0.0,1,0,1,0,7.544039,1.175,6.222,322.6,17.47,838.0,14.2,5657.0,4.567,0.824
94,3641726,K00804.01,CANDIDATE,CANDIDATE,1.0,0,0,0,0,9.02930689,0.024,3.1449,1019.8,2.57,757.0,53.9,5349.0,4.526,0.82
95,3734868,K00805.01,FALSE POSITIVE,FALSE POSITIVE,0.053,0,1,0,0,10.328035714,0.281,7.7915,16918.0,13.28,843.0,636.8,5627.0,4.359,1.024
96,3832474,K00806.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,143.2063047,0.379,8.9302,10566.0,8.9,308.0,138.8,5485.0,4.556,0.867
97,8395660,K00116.03,CONFIRMED,CANDIDATE,0.95,0,0,0,0,6.164876,0.646,3.262,55.8,0.79,1021.0,14.4,5854.0,4.406000000000001,1.012
98,3832474,K00806.02,CONFIRMED,CANDIDATE,0.745,0,0,0,0,60.32494216,0.224,6.6188,20280.0,12.19,411.0,347.2,5485.0,4.556,0.867
100,3836375,K00807.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,1.540397253,1.225,2.1541,816.1,25.69,1470.0,38.8,5663.0,4.53,0.915
101,3838486,K00808.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,2.99025443,0.014,5.414,589.2,1.7,918.0,48.5,4667.0,4.578,0.731
102,3935914,K00809.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,1.5947453740000002,0.514,1.9604,15044.0,11.3,1539.0,1009.3,5934.0,4.4910000000000005,0.893
103,3940418,K00810.01,CANDIDATE,CANDIDATE,1.0,0,0,0,0,4.783002698,0.003,2.335,1008.7,2.5,886.0,70.6,5170.0,4.574,0.807
104,4049131,K00811.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,20.50588921,0.26,4.0595,2105.5,3.41,518.0,78.5,4905.0,4.544,0.761
105,4139816,K00812.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.340218842,0.466,1.9104,1632.6,2.03,656.0,71.6,3950.0,4.754,0.493
106,5287983,K00828.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,0,2.507089906,1.255,2.0067,1339.2,30.26,1326.0,64.9,5926.0,4.506,0.939
107,5358241,K00829.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,18.64932728,0.08,4.4056,893.6,3.12,701.0,46.1,5775.0,4.405,1.053
108,10875245,K00117.02,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.90144976,0.529,4.1654,140.7,1.7,1262.0,50.6,5847.0,4.191,1.402
109,5358241,K00829.02,CONFIRMED,CANDIDATE,0.998,0,0,0,0,9.75192101,0.949,4.793,418.0,2.76,870.0,28.5,5775.0,4.405,1.053
110,5358241,K00829.03,CONFIRMED,CANDIDATE,1.0,0,0,0,0,38.5576546,0.911,5.794,993.0,4.02,550.0,39.7,5775.0,4.405,1.053
111,5358624,K00830.01,CONFIRMED,CANDIDATE,0.99,0,0,0,0,3.5256325389999996,0.12,2.59959,22335.0,11.58,975.0,1996.7,5150.0,4.572,0.793
112,4544670,K00815.01,CANDIDATE,CANDIDATE,1.0,0,0,0,0,34.84398644,0.934,2.9315,4523.6,7.61,511.0,76.8,5509.0,4.482,0.871
113,4664847,K00816.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,7.748094238999999,0.517,3.5957,2472.1,5.52,964.0,113.2,5973.0,4.439,1.085
114,4725681,K00817.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,23.96793669,0.416,3.827,1182.3,1.8,329.0,27.5,3747.0,4.728,0.524
115,4913852,K00818.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,8.11437482,0.573,2.2736,1558.0,2.1,460.0,56.4,3692.0,4.753,0.517
116,4932348,K00819.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,38.036729482,0.501,4.34617,82872.0,27.5,500.0,1300.0,5575.0,4.521,0.932
117,4936180,K00820.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,4.64090031,1.28,35.512,2450.6,30.09,1155.0,296.9,6463.0,4.5,0.826
118,11913073,K00011.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,3.747838198,1.121,5.0642,616.0,13.65,1031.0,138.2,5514.0,4.569,0.826
119,10875245,K00117.01,CONFIRMED,CANDIDATE,0.992,0,0,0,0,14.74914825,0.173,6.0995,430.2,2.89,874.0,107.4,5847.0,4.191,1.402
120,5021899,K00821.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,21.81295996,0.053,4.3791,1175.4,3.38,639.0,37.8,5601.0,4.41,0.999
121,5077629,K00822.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,7.91936937,0.733,3.3148,15148.0,10.34,814.0,389.0,5690.0,4.588,0.776
123,5164255,K00824.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,15.37562369,0.692,3.3169,15337.0,11.01,600.0,166.0,4986.0,4.496,0.833
124,5252423,K00825.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,8.10363271,0.047,3.161,887.9,2.11,687.0,39.3,4861.0,4.574,0.732
125,5252423,K00825.02,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.71510843,0.258,2.506,417.5,1.46,823.0,21.3,4861.0,4.574,0.732
126,5272878,K00826.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,6.365839713,0.524,2.9721,780.7,2.44,914.0,70.8,5776.0,4.553999999999999,0.849
127,5283542,K00827.01,FALSE POSITIVE,FALSE POSITIVE,0.037,0,0,1,0,5.97581754,0.941,3.065,962.4,3.86,1047.0,50.3,6108.0,4.471,0.997
128,5649215,K00839.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,0,1,1,2.4467373169999997,1.241,4.7211,1177.9,26.25,1261.0,110.2,5764.0,4.548,0.863
129,5651104,K00840.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.04033046,0.736,1.8411,10859.0,8.99,1021.0,568.2,5035.0,4.519,0.791
130,5792202,K00841.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,15.33528675,0.773,3.897,3081.4,5.0,610.0,86.6,5251.0,4.581,0.817
131,10875245,K00117.04,CONFIRMED,CANDIDATE,0.998,0,0,0,0,7.95825328,0.706,4.377,50.0,1.06,1074.0,14.7,5847.0,4.191,1.402
132,5792202,K00841.02,CONFIRMED,CANDIDATE,1.0,0,0,0,0,31.33046135,0.798,5.176,5073.8,6.5,481.0,117.2,5251.0,4.581,0.817
133,5370302,K00831.01,FALSE POSITIVE,FALSE POSITIVE,0.006,0,1,0,0,3.9043425,0.709,3.831,16228.0,12.28,1104.0,323.4,5810.0,4.526,0.898
134,5372966,K00832.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,9.286358079,0.377,3.49949,44791.0,17.61,796.0,1671.1,5670.0,4.523,0.821
135,5376067,K00833.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,3.951405455,1.276,2.1862,2453.9,31.44,1133.0,117.2,6046.0,4.539,0.869
136,5436502,K00834.01,CONFIRMED,CANDIDATE,0.999,0,0,0,0,23.65369415,0.008,8.2183,3341.8,7.89,731.0,266.3,5739.0,4.191,1.384
137,5436502,K00834.02,CONFIRMED,CANDIDATE,0.996,0,0,0,0,13.23352214,0.014,6.7372,504.6,3.06,888.0,49.1,5739.0,4.191,1.384
138,5436502,K00834.03,CONFIRMED,CANDIDATE,0.997,0,0,0,0,6.15560285,0.235,4.9843,285.0,2.32,1146.0,35.1,5739.0,4.191,1.384
139,5436502,K00834.04,CONFIRMED,CANDIDATE,1.0,0,0,0,0,2.090811305,0.746,3.388,115.9,1.62,1642.0,19.9,5739.0,4.191,1.384
140,10875245,K00117.03,CONFIRMED,CANDIDATE,0.995,0,0,0,0,3.180027898,0.196,3.5797,120.3,1.53,1458.0,50.4,5847.0,4.191,1.402
141,5436502,K00834.05,CONFIRMED,CANDIDATE,0.989,0,0,0,0,50.4467417,0.379,7.159,370.3,2.67,568.0,19.4,5739.0,4.191,1.384
142,5456651,K00835.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,11.76307164,0.048,2.9076,1037.3,2.35,616.0,48.9,4959.0,4.603,0.756
143,5456651,K00835.02,CONFIRMED,CANDIDATE,0.878,0,0,0,0,56.2279271,0.7,3.57,862.7,2.37,366.0,20.9,4959.0,4.603,0.756
144,5481416,K00836.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,1,1,2.384052875,1.178,3.0918,1268.1,17.06,1010.0,50.5,4794.0,4.58,0.701
145,5531576,K00837.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,7.953547,0.3,2.6312,875.4,2.25,696.0,38.4,4768.0,4.5360000000000005,0.779
146,5531576,K00837.02,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.14451656,0.004,2.3421,391.8,1.48,864.0,22.8,4768.0,4.5360000000000005,0.779
147,5534814,K00838.01,FALSE POSITIVE,FALSE POSITIVE,0.0,0,1,0,0,4.859386384,1.259,2.2757,6044.3,38.33,1114.0,269.7,6072.0,4.47,0.988
148,6291653,K00850.01,CONFIRMED,CANDIDATE,0.999,0,0,0,0,10.526294577,0.644,2.5211,9768.0,8.24,713.0,482.3,5386.0,4.553,0.793
149,6392727,K00851.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.583520948,0.045,2.7055,3812.1,5.39,1038.0,99.5,5815.0,4.54,0.877
150,6422070,K00852.01,CONFIRMED,CANDIDATE,0.876,0,0,0,0,3.76181843,0.926,3.5176,510.6,2.66,1121.0,35.9,5653.0,4.4719999999999995,0.949
151,6428700,K00853.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,8.20396958,0.823,2.9667,1024.4,3.01,742.0,54.4,5015.0,4.499,0.826
152,6428700,K00853.02,CONFIRMED,CANDIDATE,1.0,0,0,0,0,14.49645186,0.97,4.016,647.5,3.01,613.0,25.7,5015.0,4.499,0.826
153,5792202,K00841.03,CANDIDATE,CANDIDATE,1.0,0,0,0,0,6.54626149,0.644,2.75,655.9,2.19,810.0,24.8,5251.0,4.581,0.817
154,5794379,K00842.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,12.71809866,0.427,3.0957,1149.4,2.31,562.0,52.7,4702.0,4.592,0.686
155,5794379,K00842.02,CONFIRMED,CANDIDATE,0.999,0,0,0,0,36.06588163,0.26,4.3246,1563.8,2.64,397.0,51.7,4702.0,4.592,0.686
156,5881688,K00843.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,4.190425659,0.458,2.8589,2877.4,6.21,1234.0,240.6,6073.0,4.3919999999999995,1.135
157,6022556,K00844.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,3.7098707839999996,0.023,3.0694,2020.3,4.35,1151.0,116.1,5727.0,4.463,0.978
158,6032497,K00845.01,CONFIRMED,CANDIDATE,1.0,0,0,0,0,16.3297527,0.791,6.271,1187.5,3.75,727.0,74.6,5878.0,4.444,0.987
159,6061119,K00846.01,CONFIRMED,CANDIDATE,0.985,0,0,0,0,27.807566215999998,0.782,4.21587,25391.0,13.84,554.0,748.1,5862.0,4.584,0.785
160,6191521,K00847.01,CONFIRMED,CANDIDATE,0.942,0,0,0,0,80.8723469,0.527,11.195,3604.6,7.59,452.0,160.9,5510.0,4.2219999999999995,1.238
